RelatedTicketNumber	TicketNumber	DateLogged	Priority
71001	58437	10/13/2022	4
65007	58437	5/28/2022	1
63325	58437	7/31/2022	4
64956	12014	9/23/2022	2
67772	12014	5/30/2022	4
70014	51004	4/4/2022	2
79857	51004	4/11/2022	3
69768	51004	9/20/2022	3
77780	51004	9/6/2022	2
60211	23950	6/22/2022	1
63694	19903	8/4/2022	3
76126	19903	7/4/2022	4
71921	19903	5/22/2022	3
78476	59283	6/7/2022	2
76726	59283	7/10/2022	3
75588	59283	7/19/2022	2
66234	59283	8/22/2022	3
75215	59283	9/22/2022	2
78158	17305	4/4/2022	1
70040	29303	6/16/2022	4
79984	83047	7/10/2022	4
61060	83047	5/5/2022	4
73710	83047	6/8/2022	1
75761	89998	10/15/2022	2
61581	89998	9/29/2022	3
60232	23085	5/7/2022	2
63312	23085	7/14/2022	2
60911	23085	4/24/2022	3
67520	23085	8/17/2022	1
64098	23085	6/8/2022	2
